time,episode_id,fault,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_vel_0,target_joint_vel_1,target_joint_vel_2,target_joint_vel_3,target_joint_vel_4,target_joint_vel_5,joint_current_0,joint_current_1,joint_current_2,joint_current_3,joint_current_4,joint_current_5,target_joint_current_0,target_joint_current_1,target_joint_current_2,target_joint_current_3,target_joint_current_4,target_joint_current_5,joint_temp_0,joint_temp_1,joint_temp_2,joint_temp_3,joint_temp_4,joint_temp_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,target_tcp_x,target_tcp_y,target_tcp_z,target_tcp_rx,target_tcp_ry,target_tcp_rz,tcp_speed_x,tcp_speed_y,tcp_speed_z,tcp_speed_rx,tcp_speed_ry,tcp_speed_rz,target_tcp_speed_x,target_tcp_speed_y,target_tcp_speed_z,target_tcp_speed_rx,target_tcp_speed_ry,target_tcp_speed_rz,tcp_force_x,tcp_force_y,tcp_force_z,tcp_torque_x,tcp_torque_y,tcp_torque_z,robot_mode,safety_mode,robot_status,safety_status,runtime_state,main_voltage,robot_voltage,robot_current,digital_inputs,digital_outputs,analog_input_0,analog_input_1,analog_output_0,analog_output_1,speed_scaling,target_speed_fraction,momentum,task_phase,skill_index,status,busy,grip_detected,external_width,internal_width,force,max_force,min_external_width,max_external_width,operation_counter,frame_count,connected,streaming,created_at,updated_at,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,target_joint_accel_0,target_joint_accel_1,target_joint_accel_2,target_joint_accel_3,target_joint_accel_4,target_joint_accel_5,tool_accel_x,tool_accel_y,tool_accel_z
1776085910732,002c2969-c559-4f02-85a2-f2403051e800,0,40.368641221350195,-71.17949502105458,58.541032281802366,-77.70421081062767,-90.56991030110053,304.9462264395087,0.8492432031194656,0.10327148641502754,0.33645631913401813,-0.11260986245452913,-0.1235961950540682,0.2471923901081364,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,0.0605621412396431,-1.684524655342102,-1.7568473815917969,-0.7139180898666382,-0.012308932840824127,-0.05594969168305397,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20993247679166155,-0.32740701667343164,0.29308076260678745,0.15717391295102978,-3.130279155726224,-0.0001656834969790365,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,1,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910741,002c2969-c559-4f02-85a2-f2403051e800,0,40.368641221350195,-71.17949502105458,58.541032281802366,-77.70421081062767,-90.56991030110053,304.9462264395087,0.8492432031194656,0.10327148641502754,0.33645631913401813,-0.11260986245452913,-0.1235961950540682,0.2471923901081364,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,0.0605621412396431,-1.684524655342102,-1.7568473815917969,-0.7139180898666382,-0.012308932840824127,-0.05594969168305397,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20993247679166155,-0.32740701667343164,0.29308076260678745,0.15717391295102978,-3.130279155726224,-0.0001656834969790365,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910751,002c2969-c559-4f02-85a2-f2403051e800,0,40.38303926012058,-71.18017803997158,58.544474697144054,-77.70901926380336,-90.56165943258316,304.9441773827577,0.12634277153384635,0.04614258024279754,0.10574341458497713,-0.13320923274361157,0.11123657421464006,0.09475708198543807,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0942077711224556,-1.7787325382232666,-1.6912707090377808,-0.7351789474487305,-0.01678490824997425,-0.044759754091501236,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.2098406318087997,-0.3274776345254738,0.2930746566180701,0.15762622514190447,-3.130316551861918,4.8159238130346975e-05,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910761,002c2969-c559-4f02-85a2-f2403051e800,0,40.38303926012058,-71.18017803997158,58.544474697144054,-77.70901926380336,-90.56165943258316,304.9441773827577,0.12634277153384635,0.04614258024279754,0.10574341458497713,-0.13320923274361157,0.11123657421464006,0.09475708198543807,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0942077711224556,-1.7787325382232666,-1.6912707090377808,-0.7351789474487305,-0.01678490824997425,-0.044759754091501236,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.2098406318087997,-0.3274776345254738,0.2930746566180701,0.15762622514190447,-3.130316551861918,4.8159238130346975e-05,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910770,002c2969-c559-4f02-85a2-f2403051e800,0,40.376861354016306,-71.17812898322057,58.54239831963637,-77.70967496196369,-90.56578486684184,304.9462264395087,-0.2955322268656818,0.029663088013595556,0.0617980975270341,-0.11947632366429435,0.160675050902246,0.05767822613726026,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.1076660305261612,-1.8146212100982666,-1.6439944505691528,-0.7653917670249939,-0.06042566895484924,-0.04028377681970596,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20988990777094174,-0.3274539048570773,0.2930730364792964,0.15739820965965048,-3.1302745137055354,-2.9652864502739103e-05,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910780,002c2969-c559-4f02-85a2-f2403051e800,0,40.376861354016306,-71.17812898322057,58.54239831963637,-77.70967496196369,-90.56578486684184,304.9462264395087,-0.2955322268656818,0.029663088013595556,0.0617980975270341,-0.11947632366429435,0.160675050902246,0.05767822613726026,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.1076660305261612,-1.8146212100982666,-1.6439944505691528,-0.7653917670249939,-0.06042566895484924,-0.04028377681970596,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20988990777094174,-0.3274539048570773,0.2930730364792964,0.15739820965965048,-3.1302745137055354,-2.9652864502739103e-05,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910790,002c2969-c559-4f02-85a2-f2403051e800,0,40.37413610853747,-71.17878468138089,58.544474697144054,-77.71792583048106,-90.56441882900783,304.9489858359334,-0.10327148641502754,-0.027465821493687745,0.046691896872774495,-0.44494629685856024,0.07827758975623608,0.04257202214794735,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0471038855612278,-1.879669427871704,-1.5890929698944092,-0.7732247710227966,-0.06042566895484924,-0.02909383922815323,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20991460975277718,-0.32745605766302,0.29307900514028457,0.15724298119856014,-3.13020270560463,0.00011447833878937445,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910799,002c2969-c559-4f02-85a2-f2403051e800,0,40.37413610853747,-71.17878468138089,58.544474697144054,-77.71792583048106,-90.56441882900783,304.9489858359334,-0.10327148641502754,-0.027465821493687745,0.046691896872774495,-0.44494629685856024,0.07827758975623608,0.04257202214794735,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0471038855612278,-1.879669427871704,-1.5890929698944092,-0.7732247710227966,-0.06042566895484924,-0.02909383922815323,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20991460975277718,-0.32745605766302,0.29307900514028457,0.15724298119856014,-3.13020270560463,0.00011447833878937445,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910810,002c2969-c559-4f02-85a2-f2403051e800,0,40.3775477880279,-71.18293743639626,58.55064918815375,-77.71997488723207,-90.56165943258316,304.9489858359334,-0.052734376467467675,-0.0736084017364853,0.3254699865344791,-0.21148682916995426,0.05767822613726026,0.03570556760828874,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0717773512005806,-1.893127679824829,-1.5845178365707397,-0.7262269854545593,-0.07161560654640198,-0.015665914863348007,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20987935287296522,-0.3274638517457452,0.29307732866105,0.15733782650848752,-3.130226895089503,0.0001744015784327173,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
1776085910818,002c2969-c559-4f02-85a2-f2403051e800,0,40.3775477880279,-71.18293743639626,58.55064918815375,-77.71997488723207,-90.56165943258316,304.9489858359334,-0.052734376467467675,-0.0736084017364853,0.3254699865344791,-0.21148682916995426,0.05767822613726026,0.03570556760828874,40.37720542606252,-71.19968340348679,58.56113398865508,-77.720815776892,-90.57514133386537,304.9605518078164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0717773512005806,-1.893127679824829,-1.5845178365707397,-0.7262269854545593,-0.07161560654640198,-0.015665914863348007,3.8400812166193866e-17,-1.4221934300024481,-1.3499407044391685,-0.5631802975998803,-0.004385814375176274,0.0,33.77998352050781,36.609981536865234,38.769981384277344,40.680015563964844,43.129981994628906,40.949981689453125,-0.008972168900072575,-0.8792725801467896,-1.5204660892486572,-0.6501354575157166,-0.1018284410238266,-0.0839245393872261,253,253,253,253,253,253,-0.20987935287296522,-0.3274638517457452,0.29307732866105,0.15733782650848752,-3.130226895089503,0.0001744015784327173,-0.20985993236310665,-0.32740202421072845,0.29313365565710187,0.15699917486795378,-3.130000359990222,1.4098975787250864e-06,4.708086517576091e-8,-0.0000014754358597079561,0.0000019970110088709276,0.000002346971399105828,0.00003379116443745309,0.00001828767795727037,0,0,0,0,0,0,1.26350879329836,-2.4030721620351585,-13.336193485974245,-0.7491940668146357,0.37016637149668924,-0.4505791329670696,7,1,3,1,2,48.19097137451172,48.19097137451172,0.6445291042327881,0,0,0.0040280818939208984,0.0040280818939208984,0.004000000189989805,0.004000000189989805,1,1,0,0,7,0,false,false,100.4000015258789,113,-3,280,55,105,1357,,,,1775568896229,1775568896229,,,,,,,,,,,,,,,
